WMOINDEX,STATION NAME,YEAR,MTH,DAY,HOUR,SLP,MSLP,DRY,WET,DEWPT,RH,VIS,VISCODE,WX,DIR,SPEED,DUR,RAIN,SUN,CLOUD,AMT1,TYPE1,HEIGHT1,AMT2,TYPE2,HEIGHT2,AMT3,TYPE3,HEIGHT3,AMT4,TYPE4,HEIGHT4,AMT5,TYPE5,HEIGHT5,AMT6,TYPE6,HEIGHT6,SOLAR
96441,Lapangan Terbang Bintulu,2025,2,1,1,1004.6,1007.4,24.3,24.1,24,98.1,10000,60,61,1.7,210,60,3.2,,8,3,6,16,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,2,1004.4,1007.2,24.4,23.9,23.7,95.1,10000,60,61,3.5,200,60,0.2,,8,3,6,16,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,3,1004.2,1007,24.1,23.6,23.4,95.7,10000,60,61,2.9,200,60,0.2,,8,3,6,16,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,4,1003.7,1006.5,23.9,23.5,23.4,96.4,10000,60,61,3,210,60,0.6,,8,3,6,15,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,5,1003.8,1006.6,23.9,23.2,23,94,18000,68,21,4.1,210,30,0.01,,7,3,6,16,7,3,65,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,6,1003.9,1006.7,23.9,22.8,22.4,90.7,18000,68,1,3.5,210,0,0,,7,3,6,16,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,7,1004.7,1007.5,24.1,23,22.6,90.5,25000,75,3,1.4,150,0,0,,7,1,7,5,3,6,16,7,3,65,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,8,1005.6,1008.4,24.1,23.1,22.8,91.6,30000,80,1,2.2,140,0,0,,7,3,6,16,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,9,1006.5,1009.3,24.9,23.7,23.3,89.6,30000,80,3,2.3,140,0,0,,7,4,8,14,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,10,1006.7,1009.5,26.1,24.3,23.7,85,30000,80,1,2,150,0,0,,7,3,8,14,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,11,1006.4,1009.2,27.5,24.5,23.5,77.4,30000,80,3,3.1,220,0,0,,7,4,8,14,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,12,1006,1008.8,27.5,24.8,24,80,15000,65,15,3.5,230,0,0,,7,4,8,14,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,13,1005.2,1008,28.4,25.3,24.4,77.1,30000,80,1,2.6,230,0,0,,7,3,8,14,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,14,1004.6,1007.4,26.1,24.9,24.5,90.2,12000,62,80,4,270,20,0.01,,7,4,8,16,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,15,1003.6,1006.4,25.7,24.9,24.6,93,18000,68,60,3.4,260,60,5.8,,7,3,6,16,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,16,1003,1005.8,27.6,25,24.2,79.6,30000,80,21,3.6,240,15,0.01,,7,2,6,16,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,17,1003.1,1005.9,27.2,24.5,23.7,79.7,15000,65,15,3.7,260,0,0,,7,1,9,15,2,8,16,6,3,65,2,0,80,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,18,1004.2,1007,25,23.6,23.1,88.1,10000,60,60,2.7,190,5,0.01,,7,3,6,16,7,3,65,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,19,1004.7,1007.5,23.4,23.1,23,97,6000,56,61,1.4,170,60,6.6,,8,3,6,16,8,4,64,,,,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,1,20,1005.2,1008,23.6,23.4,23.3,98.2,10000,60,61,1.6,210,60,2.4,,8,3,6,16,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,21,1005.9,1008.7,23.7,23.4,23.3,97.4,10000,60,61,0.7,60,60,0.2,,8,3,6,16,8,4,64,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,22,1006.5,1009.3,23.7,23.4,23.3,97.4,18000,68,21,1.9,130,10,0.01,,7,2,6,16,5,3,65,2,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,23,1006.3,1009.1,23.7,23.2,23,95.7,18000,68,3,2.3,120,0,0,,7,2,6,16,5,3,65,3,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,1,24,1006.3,1009.1,23.4,23.1,23,97.3,18000,68,2,1.6,130,0,0,,7,2,6,16,5,3,65,3,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,1,1005.8,1008.6,23.5,23.2,23.1,97.3,18000,68,2,1.8,120,0,0,,7,2,6,16,5,3,65,3,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,2,1005.6,1008.4,23.4,23.2,23.1,98.2,8000,58,60,0.7,130,40,0.4,,7,3,6,16,7,3,65,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,3,1005.4,1008.2,23.5,23.3,23.2,98.1,18000,68,21,0,0,5,0.01,,7,3,6,16,7,3,65,,,,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,4,1004.7,1007.5,23.5,23.2,23.1,97.4,18000,68,1,2,130,0,0,,7,3,6,16,6,3,65,2,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,5,1004.7,1007.5,23.6,23.2,23.1,96.9,18000,68,60,1.5,170,30,0.2,,7,3,6,16,6,3,65,2,0,80,,,,,,,,,,
96441,Lapangan Terbang Bintulu,2025,2,2,6,1004.8,1007.6,23.7,23.2,23,95.7,18000,68,21,1.4,170,5,0.01,,7,2,6,16,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,2,7,1005.4,1008.2,23.7,23.2,23,95.7,30000,80,2,2,120,0,0,,7,2,6,16,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,2,8,1005.9,1008.7,24.1,23.4,23.2,94.2,30000,80,3,2,120,0,0,,7,3,6,14,6,3,65,2,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,2,9,1006.3,1009.1,25.7,24.2,23.8,88.4,30000,80,1,2,130,0,0,,7,2,8,14,6,3,65,3,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,2,10,1006.2,1009,27,25,24.4,83.8,30000,80,3,1.7,140,0,0,,7,3,8,14,5,3,65,4,0,80,,,,,,,,,,0
96441,Lapangan Terbang Bintulu,2025,2,2,11,1005.9,1008.7,28.8,25.7,24.8,76.7,30000,80,3,2.5,160,0,0,,7,4,8,14,5,3,65,3,0,80,,,,,,,,,,0
